1	1	RD	NPN	11	Ταῦτα	ταυτα	ταυτα	οὗτος	Tau~ta	tauta	tauta	ou~(toj	ou(=toj				TAU=TA	OU(=TOS
1	1	RA	NPN	10	τὰ	τα	τα	ὁ	ta\	ta	ta	o(	o(				TA\	O(
1	1	N3M	NPN	18050	ὀνόματα	ὀνοματα	ονοματα	ὄνομα	o)no/mata	o)nomata	onomata	o/)noma	o)/noma				O)NO/MATA	O)/NOMA
1	1	RA	GPM	10	τῶν	των	των	ὁ	tw~n	twn	twn	o(	o(				TW=N	O(
1	1	N2	GPM	10050	υἱῶν	υἱων	υιων	υἱός	ui(w~n	ui(wn	uiwn	ui(o/j	ui(o/j				UI(W=N	UI(O/S
1	1	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	Israhl	israhl	israhl	I)srah/l	I)srah/l				*ISRAHL	*I)SRAH/L
1	1	RA	GPM	10	τῶν	των	των	ὁ	tw~n	twn	twn	o(	o(				TW=N	O(
1	1	VX	XPPGPM	5164481	εἰσπεπορευμένων	εἰσπεπορευμενων	εισπεπορευμενων	εἰσπορεύομαι	ei)speporeume/nwn	ei)speporeumenwn	eispeporeumenwn	ei)sporeu/omai	ei)sporeu/omai				EI)SPEPOREUME/NWN	POREU/OMAI       EI)S
1	1	P		8	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j	ei)j				EI)S	EI)S
1	1	N2	ASF	13570	Αἴγυπτον	αἰγυπτον	αιγυπτον	Αἴγυπτος	Ai/)gupton	ai)gupton	aigupton	Ai/)guptoj	Ai)/guptoj				*AI)/GUPTON	*AI)/GUPTOS
1	1	D		9	ἅμα	ἁμα	αμα	ἅμα	a/(ma	a(ma	ama	a/(ma	a(/ma				A(/MA	A(/MA
1	1	N	DSM	9602	Ιακωβ	ιακωβ	ιακωβ	Ἰακώβ	Iakwb	iakwb	iakwb	I)akw/b	I)akw/b				*IAKWB	*I)AKW/B
1	1	RA	DSM	10	τῷ	τω	τω	ὁ	tw~|	tw	tw	o(	o(				TW=|	O(
1	1	N3	DSM	9602	πατρὶ	πατρι	πατρι	πατήρ	patri\	patri	patri	path/r	path/r				PATRI\	PATH/R
1	1	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός	au)tw~n	au)twn	autwn	au)to/j	au)to/j				AU)TW=N	AU)TO/S
1	1	A1	NSM	9347	ἕκαστος	ἑκαστος	εκαστος	ἕκαστος	e/(kastoj	e(kastoj	ekastoj	e/(kastoj	e(/kastoj				E(/KASTOS	E(/KASTOS
1	1	N1A	DSF	13698	πανοικίᾳ	πανοικια	πανοικια	πανοικία	panoiki/a|	panoikia	panoikia	panoiki/a	panoiki/a				PANOIKI/A|	PANOIKI/A
1	1	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός	au)tw~n	au)twn	autwn	au)to/j	au)to/j				AU)TW=N	AU)TO/S
1	1	VBI	AAI3P	895617	εἰσήλθοσαν	εἰσηλθοσαν	εισηλθοσαν	εἰσέρχομαι	ei)sh/lqosan	ei)shlqosan	eishlqosan	ei)se/rxomai	ei)se/rxomai			·	EI)SH/LQOSAN	E)/RXOMAI        EI)S
1	2	N	NSM	9346	Ρουβην	ρουβην	ρουβην	Ῥουβήν	Roubhn	roubhn	roubhn	R(oubh/n	R(oubh/n			,	*ROUBHN	*ROUBHN
1	2	N	NSM	9346	Συμεων	συμεων	συμεων	Συμεών	Sumewn	sumewn	sumewn	Sumew/n	Sumew/n			,	*SUMEWN	*SUMEWN
1	2	N	NSM	9346	Λευι	λευι	λευι	Λευΐ	Leui	leui	leui	Leui/:	Leui/:			,	*LEUI	*LEUI/
1	2	N	NSM	9346	Ιουδας	ιουδας	ιουδας	Ἰούδας	Ioudaj	ioudaj	ioudaj	I)ou/daj	I)ou/daj			,	*IOUDAS	*I)OU/DAS
1	3	N	NSM	9346	Ισσαχαρ	ισσαχαρ	ισσαχαρ	Ἰσσαχάρ	Issaxar	issaxar	issaxar	I)ssaxa/r	I)ssaxa/r			,	*ISSAXAR	*ISSAXAR
1	3	N	NSM	9346	Ζαβουλων	ζαβουλων	ζαβουλων	Ζαβουλών	Zaboulwn	zaboulwn	zaboulwn	Zaboulw/n	Zaboulw/n				*ZABOULWN	*ZABOULWN
1	3	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	3	N	NSM	9346	Βενιαμιν	βενιαμιν	βενιαμιν	Βενιαμίν	Beniamin	beniamin	beniamin	Beniami/n	Beniami/n			,	*BENIAMIN	*BENIAMI/N
1	4	N	NSM	9346	Δαν	δαν	δαν	Δαν	Dan	dan	dan	Dan	Dan				*DAN	*DAN
1	4	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	4	N	NSM	9346	Νεφθαλι	νεφθαλι	νεφθαλι	Νεφθαλείμ	Nefqali	nefqali	nefqali	Nefqalei/m	Nefqalei/m			,	*NEFQALI	*NEFQALI
1	4	N	NSM	9346	Γαδ	γαδ	γαδ	Γάδ	Gad	gad	gad	Ga/d	Ga/d				*GAD	*GAD
1	4	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	4	N	NSM	9346	Ασηρ	ασηρ	ασηρ	Ἀσήρ	Ashr	ashr	ashr	A)sh/r	A)sh/r			.	*ASHR	*ASHR
1	5	N	NSM	9346	Ιωσηφ	ιωσηφ	ιωσηφ	Ἰωσήφ	Iwshf	iwshf	iwshf	I)wsh/f	I)wsh/f				*IWSHF	*IWSHF
1	5	X		5	δὲ	δε	δε	δέ	de\	de	de	de/	de/				DE\	DE/
1	5	V9	IAI3S	632449	ἦν	ἠν	ην	εἰμί	h~)n	h)n	hn	ei)mi/	ei)mi/				H)=N	EI)MI/
