1	1	VA	AAD2P	895681	Ἀγαπήσατε	ἀγαπησατε	αγαπησατε	ἀγαπάω	A)gaph/sate	a)gaphsate	agaphsate	a)gapa/w	a)gapa/w				*A)GAPH/SATE	A)GAPA/W
1	1	N1	ASF	13570	δικαιοσύνην	δικαιοσυνην	δικαιοσυνην	δικαιοσύνη	dikaiosu/nhn	dikaiosunhn	dikaiosunhn	dikaiosu/nh	dikaiosu/nh			,	DIKAIOSU/NHN	DIKAIOSU/NH
1	1	RA	VPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
1	1	V1	PAPVPM	5088705	κρίνοντες	κρινοντες	κρινοντες	κρίνω	kri/nontej	krinontej	krinontej	kri/nw	kri/nw				KRI/NONTES	KRI/NW
1	1	RA	ASF	10	τὴν	την	την	ὁ	th\n	thn	thn	o(	o(				TH\N	O(
1	1	N1	ASF	13570	γῆν	γην	γην	γῆ	gh~n	ghn	ghn	gh~	gh=			,	GH=N	GH=
1	1	VA	AAD2P	895681	φρονήσατε	φρονησατε	φρονησατε	φρονέω	fronh/sate	fronhsate	fronhsate	frone/w	frone/w				FRONH/SATE	FRONE/W
1	1	P		8	περὶ	περι	περι	περί	peri\	peri	peri	peri/	peri/				PERI\	PERI/
1	1	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	1	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος	kuri/ou	kuriou	kuriou	ku/rioj	ku/rioj				KURI/OU	KU/RIOS
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	1	N3T	DSF	13698	ἀγαθότητι	ἀγαθοτητι	αγαθοτητι	ἀγαθότης	a)gaqo/thti	a)gaqothti	agaqothti	a)gaqo/thj	a)gaqo/thj				A)GAQO/THTI	A)GAQO/THS
1	1	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	1	N3T	DSF	13698	ἁπλότητι	ἁπλοτητι	απλοτητι	ἁπλότης	a(plo/thti	a(plothti	aplothti	a(plo/thj	a(plo/thj				A(PLO/THTI	A(PLO/THS
1	1	N1A	GSF	13634	καρδίας	καρδιας	καρδιας	καρδία	kardi/aj	kardiaj	kardiaj	kardi/a	kardi/a				KARDI/AS	KARDI/A
1	1	VA	AAD2P	895681	ζητήσατε	ζητησατε	ζητησατε	ζητέω	zhth/sate	zhthsate	zhthsate	zhte/w	zhte/w				ZHTH/SATE	ZHTE/W
1	1	RD	ASM	11	αὐτόν	αὐτον	αυτον	αὐτός	au)to/n	au)ton	auton	au)to/j	au)to/j			.	AU)TO/N	AU)TO/S
1	2	C		4	ὅτι	ὁτι	οτι	ὅτι	o/(ti	o(ti	oti	o/(ti	o(/ti				O(/TI	O(/TI
1	2	V1	PMI3S	636033	εὑρίσκεται	εὑρισκεται	ευρισκεται	εὑρίσκω	eu(ri/sketai	eu(risketai	eurisketai	eu(ri/skw	eu(ri/skw				EU(RI/SKETAI	EU(RI/SKW
1	2	RA	DPM	10	τοῖς	τοις	τοις	ὁ	toi~j	toij	toij	o(	o(				TOI=S	O(
1	2	D		9	μὴ	μη	μη	μή	mh\	mh	mh	mh/	mh/				MH\	MH/
1	2	V1	PAPDPM	5187009	πειράζουσιν	πειραζουσιν	πειραζουσιν	πειράζω	peira/zousin	peirazousin	peirazousin	peira/zw	peira/zw				PEIRA/ZOUSIN	PEIRA/ZW
1	2	RD	ASM	11	αὐτόν	αὐτον	αυτον	αὐτός	au)to/n	au)ton	auton	au)to/j	au)to/j			,	AU)TO/N	AU)TO/S
1	2	V1	PMI3S	636033	ἐμφανίζεται	ἐμφανιζεται	εμφανιζεται	ἐμφανίζω	e)mfani/zetai	e)mfanizetai	emfanizetai	e)mfani/zw	e)mfani/zw				E)MFANI/ZETAI	E)MFANI/ZW
1	2	X		5	δὲ	δε	δε	δέ	de\	de	de	de/	de/				DE\	DE/
1	2	RA	DPM	10	τοῖς	τοις	τοις	ὁ	toi~j	toij	toij	o(	o(				TOI=S	O(
1	2	D		9	μὴ	μη	μη	μή	mh\	mh	mh	mh/	mh/				MH\	MH/
1	2	V2	PAPDPM	5187009	ἀπιστοῦσιν	ἀπιστουσιν	απιστουσιν	ἀπιστέω	a)pistou~sin	a)pistousin	apistousin	a)piste/w	a)piste/w				A)PISTOU=SIN	A)PISTE/W
1	2	RD	DSM	11	αὐτῷ	αὐτω	αυτω	αὐτός	au)tw~|	au)tw	autw	au)to/j	au)to/j			.	AU)TW=|	AU)TO/S
1	3	A1A	NPM	9859	σκολιοὶ	σκολιοι	σκολιοι	σκολιός	skolioi\	skolioi	skolioi	skolio/j	skolio/j				SKOLIOI\	SKOLIO/S
1	3	X		5	γὰρ	γαρ	γαρ	γάρ	ga\r	gar	gar	ga/r	ga/r				GA\R	GA/R
1	3	N2	NPM	9858	λογισμοὶ	λογισμοι	λογισμοι	λογισμός	logismoi\	logismoi	logismoi	logismo/j	logismo/j				LOGISMOI\	LOGISMO/S
1	3	V1	PAI3P	894081	χωρίζουσιν	χωριζουσιν	χωριζουσιν	χωρίζω	xwri/zousin	xwrizousin	xwrizousin	xwri/zw	xwri/zw				XWRI/ZOUSIN	XWRI/ZW
1	3	P		8	ἀπὸ	ἀπο	απο	ἀπό	a)po\	a)po	apo	a)po/	a)po/				A)PO\	A)PO/
1	3	N2	GSM	9538	θεοῦ	θεου	θεου	θεός	qeou~	qeou	qeou	qeo/j	qeo/j			,	QEOU=	QEO/S
1	3	V1	PMPNSF	6895041	δοκιμαζομένη	δοκιμαζομενη	δοκιμαζομενη	δοκιμάζω	dokimazome/nh	dokimazomenh	dokimazomenh	dokima/zw	dokima/zw				DOKIMAZOME/NH	DOKIMA/ZW
1	3	X		5	τε	τε	τε	τε	te	te	te	te	te				TE	TE
1	3	RA	NSF	10	ἡ	ἡ	η	ὁ	h(	h(	h	o(	o(				H(	O(
1	3	N3I	NSF	13442	δύναμις	δυναμις	δυναμις	δύναμις	du/namij	dunamij	dunamij	du/namij	du/namij				DU/NAMIS	DU/NAMIS
1	3	V1	PAI3S	631937	ἐλέγχει	ἐλεγχει	ελεγχει	ἐλέγχω	e)le/gxei	e)legxei	elegxei	e)le/gxw	e)le/gxw				E)LE/GXEI	E)LE/GXW
1	3	RA	APM	10	τοὺς	τους	τους	ὁ	tou\j	touj	touj	o(	o(				TOU\S	O(
1	3	A3N	APM	9987	ἄφρονας	ἀφρονας	αφρονας	ἄφρων	a/)fronaj	a)fronaj	afronaj	a/)frwn	a)/frwn			.	A)/FRONAS	A)/FRWN
1	4	C		4	ὅτι	ὁτι	οτι	ὅτι	o/(ti	o(ti	oti	o/(ti	o(/ti				O(/TI	O(/TI
1	4	P		8	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j	ei)j				EI)S	EI)S
1	4	A1B	ASF	13571	κακότεχνον	κακοτεχνον	κακοτεχνον	κακότεχνος	kako/texnon	kakotexnon	kakotexnon	kako/texnoj	kako/texnoj				KAKO/TEXNON	KAKO/TEXNOS
1	4	N1	ASF	13570	ψυχὴν	ψυχην	ψυχην	ψυχή	yuxh\n	yuxhn	yuxhn	yuxh/	yuxh/				YUXH\N	YUXH/
1	4	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)k	ou)k	ouk	ou)	ou)				OU)K	OU)
1	4	VF	FMI3S	637057	εἰσελεύσεται	εἰσελευσεται	εισελευσεται	εἰσέρχομαι	ei)seleu/setai	ei)seleusetai	eiseleusetai	ei)se/rxomai	ei)se/rxomai				EI)SELEU/SETAI	E)/RXOMAI        EI)S
1	4	N1A	NSF	13442	σοφία	σοφια	σοφια	σοφία	sofi/a	sofia	sofia	sofi/a	sofi/a				SOFI/A	SOFI/A
1	4	C		4	οὐδὲ	οὐδε	ουδε	οὐδέ	ou)de\	ou)de	oude	ou)de/	ou)de/				OU)DE\	OU)DE/
1	4	N3I	DSF	13698	κατοικήσει	κατοικησει	κατοικησει	κατοίκησις	katoikh/sei	katoikhsei	katoikhsei	katoi/khsij	katoi/khsij				KATOIKH/SEI	KATOI/KHSIS
1	4	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	4	N3M	DSN	17794	σώματι	σωματι	σωματι	σῶμα	sw/mati	swmati	swmati	sw~ma	sw=ma				SW/MATI	SW=MA
