1	1	N2	NSF	13442	Βίβλος	βιβλος	βιβλος	βίβλος	Bi/bloj	bibloj	bibloj	bi/bloj	bi/bloj				BI/BLOS	BI/BLOS
1	1	N2	GPM	10050	λόγων	λογων	λογων	λόγος	lo/gwn	logwn	logwn	lo/goj	lo/goj				LO/GWN	LO/GOS
1	1	N	GSM	9538	Τωβιθ	τωβιθ	τωβιθ	Τωβιθ	Twbiq	twbiq	twbiq	Twbiq	Twbiq				*TWBIQ	*TWBIQ
1	1	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	1	N	GSM	9538	Τωβιηλ	τωβιηλ	τωβιηλ	Τωβιηλ	Twbihl	twbihl	twbihl	Twbihl	Twbihl				*TWBIHL	*TWBIHL
1	1	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	1	N	GSM	9538	Ανανιηλ	ανανιηλ	ανανιηλ	Ἁνανιηλ	Ananihl	ananihl	ananihl	A(nanihl	A(nanihl				*ANANIHL	*ANANIHL
1	1	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	1	N	GSM	9538	Αδουηλ	αδουηλ	αδουηλ	Ἀδουηλ	Adouhl	adouhl	adouhl	A)douhl	A)douhl				*ADOUHL	*ADOUHL
1	1	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	1	N	GSM	9538	Γαβαηλ	γαβαηλ	γαβαηλ	Γαβαήλ	Gabahl	gabahl	gabahl	Gabah/l	Gabah/l				*GABAHL	*GABAHL
1	1	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	1	N	GSM	9538	Ραφαηλ	ραφαηλ	ραφαηλ	Ῥαφαήλ	Rafahl	rafahl	rafahl	R(afah/l	R(afah/l				*RAFAHL	*RAFAHL
1	1	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	1	N	GSM	9538	Ραγουηλ	ραγουηλ	ραγουηλ	Ῥαγουήλ	Ragouhl	ragouhl	ragouhl	R(agouh/l	R(agouh/l				*RAGOUHL	*RAGOUHL
1	1	P		8	ἐκ	ἐκ	εκ	ἐκ	e)k	e)k	ek	e)k	e)k				E)K	E)K
