1	1	VAI	AAI1S	600705	Ἐβόησα	ἐβοησα	εβοησα	βοάω	E)bo/hsa	e)bohsa	ebohsa	boa/w	boa/w				E)BO/HSA	BOA/W
1	1	P		8	πρὸς	προς	προς	πρός	pro\j	proj	proj	pro/j	pro/j				PRO\S	PRO/S
1	1	N2	ASM	9474	κύριον	κυριον	κυριον	κύριος	ku/rion	kurion	kurion	ku/rioj	ku/rioj				KU/RION	KU/RIOS
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	1	RA	DSN	10	τῷ	τω	τω	ὁ	tw~|	tw	tw	o(	o(				TW=|	O(
1	1	V1	PMN	308609	θλίβεσθαί	θλιβεσθαι	θλιβεσθαι	θλίβω	qli/besqai/	qlibesqai	qlibesqai	qli/bw	qli/bw				QLI/BESQAI/	QLI/BW
1	1	RP	AS	13	με	με	με	μέ	me	me	me	me/	me/				ME	E)GW/
1	1	P		8	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j	ei)j				EI)S	EI)S
1	1	N3E	ASN	17666	τέλος	τελος	τελος	τέλος	te/loj	teloj	teloj	te/loj	te/loj			,	TE/LOS	TE/LOS
1	1	P		8	πρὸς	προς	προς	πρός	pro\j	proj	proj	pro/j	pro/j				PRO\S	PRO/S
1	1	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
1	1	N2	ASM	9474	θεὸν	θεον	θεον	θεός	qeo\n	qeon	qeon	qeo/j	qeo/j				QEO\N	QEO/S
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	1	RA	DSN	10	τῷ	τω	τω	ὁ	tw~|	tw	tw	o(	o(				TW=|	O(
1	1	VE	AMN	310145	ἐπιθέσθαι	ἐπιθεσθαι	επιθεσθαι	ἐπιτίθημι	e)piqe/sqai	e)piqesqai	epiqesqai	e)piti/qhmi	e)piti/qhmi				E)PIQE/SQAI	TI/QHMI          E)PI
1	1	A1B	APM	9987	ἁμαρτωλούς	ἁμαρτωλους	αμαρτωλους	ἁμαρτωλός	a(martwlou/j	a(martwlouj	amartwlouj	a(martwlo/j	a(martwlo/j			·	A(MARTWLOU/S	A(MARTWLO/S
1	2	D		9	ἐξάπινα	ἐξαπινα	εξαπινα	ἐξάπινα	e)ca/pina	e)capina	ecapina	e)ca/pina	e)ca/pina				E)CA/PINA	E)CA/PINA
1	2	VCI	API3S	641665	ἠκούσθη	ἠκουσθη	ηκουσθη	ἀκούω	h)kou/sqh	h)kousqh	hkousqh	a)kou/w	a)kou/w				H)KOU/SQH	A)KOU/W
1	2	N1	NSF	13442	κραυγὴ	κραυγη	κραυγη	κραυγή	kraugh\	kraugh	kraugh	kraugh/	kraugh/				KRAUGH\	KRAUGH/
1	2	N2	GSM	9538	πολέμου	πολεμου	πολεμου	πόλεμος	pole/mou	polemou	polemou	po/lemoj	po/lemoj				POLE/MOU	PO/LEMOS
1	2	A1B	ASM	9475	ἐνώπιόν	ἐνωπιον	ενωπιον	ἐνώπιος	e)nw/pio/n	e)nwpion	enwpion	e)nw/pioj	e)nw/pioj				E)NW/PIO/N	E)NW/PION
1	2	RP	GS	13	μου	μου	μου	μου	mou	mou	mou	mou	mou			·	MOU	E)GW/
1	2	VAI	AAI1S	600705	εἶπα	εἰπα	ειπα	ἔπω	ei~)pa	ei)pa	eipa	e/)pw	e)/pw	[	]		EI)=PA	EI)=PON
1	2	VF	FMI3S	637057	Ἐπακούσεταί	ἐπακουσεται	επακουσεται	ἐπακούω	E)pakou/setai/	e)pakousetai	epakousetai	e)pakou/w	e)pakou/w				E)PAKOU/SETAI/	A)KOU/W          E)PI
1	2	RP	GS	13	μου	μου	μου	μου	mou	mou	mou	mou	mou			,	MOU	E)GW/
1	2	C		4	ὅτι	ὁτι	οτι	ὅτι	o/(ti	o(ti	oti	o/(ti	o(/ti				O(/TI	O(/TI
1	2	VSI	API1S	608897	ἐπλήσθην	ἐπλησθην	επλησθην	πλήθω	e)plh/sqhn	e)plhsqhn	eplhsqhn	plh/qw	plh/qw				E)PLH/SQHN	PI/MPLHMI
1	2	N1	GSF	13634	δικαιοσύνης	δικαιοσυνης	δικαιοσυνης	δικαιοσύνη	dikaiosu/nhj	dikaiosunhj	dikaiosunhj	dikaiosu/nh	dikaiosu/nh			.	DIKAIOSU/NHS	DIKAIOSU/NH
1	3	VAI	AMI1S	604801	ἐλογισάμην	ἐλογισαμην	ελογισαμην	λογίζομαι	e)logisa/mhn	e)logisamhn	elogisamhn	logi/zomai	logi/zomai				E)LOGISA/MHN	LOGI/ZOMAI
1	3	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	3	N1A	DSF	13698	καρδίᾳ	καρδια	καρδια	καρδία	kardi/a|	kardia	kardia	kardi/a	kardi/a				KARDI/A|	KARDI/A
1	3	RP	GS	13	μου	μου	μου	μου	mou	mou	mou	mou	mou				MOU	E)GW/
1	3	C		4	ὅτι	ὁτι	οτι	ὅτι	o/(ti	o(ti	oti	o/(ti	o(/ti				O(/TI	O(/TI
1	3	VSI	API1S	608897	ἐπλήσθην	ἐπλησθην	επλησθην	πλήθω	e)plh/sqhn	e)plhsqhn	eplhsqhn	plh/qw	plh/qw				E)PLH/SQHN	PI/MPLHMI
1	3	N1	GSF	13634	δικαιοσύνης	δικαιοσυνης	δικαιοσυνης	δικαιοσύνη	dikaiosu/nhj	dikaiosunhj	dikaiosunhj	dikaiosu/nh	dikaiosu/nh				DIKAIOSU/NHS	DIKAIOSU/NH
1	3	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	3	RA	DSN	10	τῷ	τω	τω	ὁ	tw~|	tw	tw	o(	o(				TW=|	O(
