1	1	N1A	NPF	13954	Παροιμίαι	παροιμιαι	παροιμιαι	παροιμία	Paroimi/ai	paroimiai	paroimiai	paroimi/a	paroimi/a				PAROIMI/AI	PAROIMI/A
1	1	N	GSM	9538	Σαλωμῶντος	σαλωμωντος	σαλωμωντος	Σαλωμών	Salwmw~ntoj	salwmwntoj	salwmwntoj	Salwmw/n	Salwmw/n				*SALWMW=NTOS	*SALWMW=N
1	1	N2	GSM	9538	υἱοῦ	υἱου	υιου	υἱός	ui(ou~	ui(ou	uiou	ui(o/j	ui(o/j				UI(OU=	UI(O/S
1	1	N	GSM	9538	Δαυιδ	δαυιδ	δαυιδ	Δαβίδ	Dauid	dauid	dauid	Dabi/d	Dabi/d			,	*DAUID	*DAUI/D
1	1	RR	NSM	14	ὃς	ὁς	ος	ὅς	o\(j	o(j	oj	o/(j	o(/j				O(\S	O(/S
1	1	VAI	AAI3S	633473	ἐβασίλευσεν	ἐβασιλευσεν	εβασιλευσεν	βασιλεύω	e)basi/leusen	e)basileusen	ebasileusen	basileu/w	basileu/w				E)BASI/LEUSEN	BASILEU/W
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	1	N	DSM	9602	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	Israhl	israhl	israhl	I)srah/l	I)srah/l			,	*ISRAHL	*I)SRAH/L
1	2	VZ	AAN	306049	γνῶναι	γνωναι	γνωναι	γινώσκω	gnw~nai	gnwnai	gnwnai	ginw/skw	ginw/skw				GNW=NAI	GIGNW/SKW
1	2	N1A	ASF	13570	σοφίαν	σοφιαν	σοφιαν	σοφία	sofi/an	sofian	sofian	sofi/a	sofi/a				SOFI/AN	SOFI/A
1	2	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	2	N1A	ASF	13570	παιδείαν	παιδειαν	παιδειαν	παιδεία	paidei/an	paideian	paideian	paidei/a	paidei/a				PAIDEI/AN	PAIDEI/A
1	2	VA	AAN	306049	νοῆσαί	νοησαι	νοησαι	νοέω	noh~sai/	nohsai	nohsai	noe/w	noe/w				NOH=SAI/	NOE/W
1	2	C		4	τε	τε	τε	τε	te	te	te	te	te				TE	TE
1	2	N2	APM	9986	λόγους	λογους	λογους	λόγος	lo/gouj	logouj	logouj	lo/goj	lo/goj				LO/GOUS	LO/GOS
1	2	N3I	GSF	13634	φρονήσεως	φρονησεως	φρονησεως	φρόνησις	fronh/sewj	fronhsewj	fronhsewj	fro/nhsij	fro/nhsij				FRONH/SEWS	FRO/NHSIS
