1	1	N	NSM	9346	Αδαμ	αδαμ	αδαμ	Ἀδάμ	Adam	adam	adam	A)da/m	A)da/m			,	*ADAM	*ADAM
1	1	N	NSM	9346	Σηθ	σηθ	σηθ	Σήθ	Shq	shq	shq	Sh/q	Sh/q			,	*SHQ	*SHQ
1	1	N	NSM	9346	Ενως	ενως	ενως	Ἐνώς	Enwj	enwj	enwj	E)nw/j	E)nw/j			,	*ENWS	*ENWS
1	2	N	NSM	9346	Καιναν	καιναν	καιναν	Καϊνάν	Kainan	kainan	kainan	Kai:na/n	Kai:na/n			,	*KAINAN	*KAINAN
1	2	N	NSM	9346	Μαλελεηλ	μαλελεηλ	μαλελεηλ	Μαλελεήλ	Malelehl	malelehl	malelehl	Maleleh/l	Maleleh/l			,	*MALELEHL	*MALELEHL
1	2	N	NSM	9346	Ιαρεδ	ιαρεδ	ιαρεδ	Ἰάρεδ	Iared	iared	iared	I)a/red	I)a/red			,	*IARED	*IARED
1	3	N	NSM	9346	Ενωχ	ενωχ	ενωχ	Ἐνώχ	Enwx	enwx	enwx	E)nw/x	E)nw/x			,	*ENWX	*ENWX
1	3	N	NSM	9346	Μαθουσαλα	μαθουσαλα	μαθουσαλα	Μαθουσαλά	Maqousala	maqousala	maqousala	Maqousala/	Maqousala/			,	*MAQOUSALA	*MAQOUSALA
1	3	N	NSM	9346	Λαμεχ	λαμεχ	λαμεχ	Λάμεχ	Lamex	lamex	lamex	La/mex	La/mex			,	*LAMEX	*LAMEX
1	4	N	NSM	9346	Νωε	νωε	νωε	Νῶε	Nwe	nwe	nwe	Nw~e	Nw=e			.	*NWE	*NWE
1	4	N2	NPM	9858	υἱοὶ	υἱοι	υιοι	υἱός	ui(oi\	ui(oi	uioi	ui(o/j	ui(o/j				UI(OI\	UI(O/S
1	4	N	GSM	9538	Νωε	νωε	νωε	Νῶε	Nwe	nwe	nwe	Nw~e	Nw=e			·	*NWE	*NWE
1	4	N	NSM	9346	Σημ	σημ	σημ	Σήμ	Shm	shm	shm	Sh/m	Sh/m			,	*SHM	*SHM
1	4	N	NSM	9346	Χαμ	χαμ	χαμ	Χαμ	Xam	xam	xam	Xam	Xam			,	*XAM	*XAM
1	4	N	NSM	9346	Ιαφεθ	ιαφεθ	ιαφεθ	Ιαφεθ	Iafeq	iafeq	iafeq	Iafeq	Iafeq			.	*IAFEQ	*IAFEQ
1	5	N2	NPM	9858	Υἱοὶ	υἱοι	υιοι	υἱός	Ui(oi\	ui(oi	uioi	ui(o/j	ui(o/j				UI(OI\	UI(O/S
1	5	N	GSM	9538	Ιαφεθ	ιαφεθ	ιαφεθ	Ιαφεθ	Iafeq	iafeq	iafeq	Iafeq	Iafeq			·	*IAFEQ	*IAFEQ
1	5	N	NSM	9346	Γαμερ	γαμερ	γαμερ	Γαμερ	Gamer	gamer	gamer	Gamer	Gamer			,	*GAMER	*GAMER
1	5	N	NSM	9346	Μαγωγ	μαγωγ	μαγωγ	Μαγώγ	Magwg	magwg	magwg	Magw/g	Magw/g			,	*MAGWG	*MAGWG
1	5	N	NSM	9346	Μαδαι	μαδαι	μαδαι	Μαδαι	Madai	madai	madai	Madai	Madai			,	*MADAI	*MADAI
1	5	N	NSM	9346	Ιωυαν	ιωυαν	ιωυαν	Ιωυαν	Iwuan	iwuan	iwuan	Iwuan	Iwuan			,	*IWUAN	*IWUAN
1	5	N	NSM	9346	Ελισα	ελισα	ελισα	Ελισα	Elisa	elisa	elisa	Elisa	Elisa			,	*ELISA	*ELISA
1	5	N	NSM	9346	Θοβελ	θοβελ	θοβελ	Θοβελ	Qobel	qobel	qobel	Qobel	Qobel			,	*QOBEL	*QOBEL
