1	1	N2	NSM	9346	Λόγος	λογος	λογος	λόγος	Lo/goj	logoj	logoj	lo/goj	lo/goj				LO/GOS	LO/GOS
1	1	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος	kuri/ou	kuriou	kuriou	ku/rioj	ku/rioj			,	KURI/OU	KU/RIOS
1	1	RR	NSM	14	ὃς	ὁς	ος	ὅς	o\(j	o(j	oj	o/(j	o(/j				O(\S	O(/S
1	1	VCI	API3S	641665	ἐγενήθη	ἐγενηθη	εγενηθη	γίνομαι	e)genh/qh	e)genhqh	egenhqh	gi/nomai	gi/nomai				E)GENH/QH	GI/GNOMAI
1	1	P		8	πρὸς	προς	προς	πρός	pro\j	proj	proj	pro/j	pro/j				PRO\S	PRO/S
1	1	N1T	ASM	9474	Σοφονιαν	σοφονιαν	σοφονιαν	Σοφονίας	Sofonian	sofonian	sofonian	Sofoni/aj	Sofoni/aj				*SOFONIAN	*SOFONIAS
1	1	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
1	1	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	1	N	GSM	9538	Χουσι	χουσι	χουσι	Χουσι	Xousi	xousi	xousi	Xousi	Xousi				*XOUSI	*XOUSI
1	1	N2	ASM	9474	υἱὸν	υἱον	υιον	υἱός	ui(o\n	ui(on	uion	ui(o/j	ui(o/j				UI(O\N	UI(O/S
1	1	N1T	GSM	9538	Γοδολιου	γοδολιου	γοδολιου	Γοδολιας	Godoliou	godoliou	godoliou	Godoliaj	Godoliaj				*GODOLIOU	*GODOLIAS
1	1	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	1	N1T	GSM	9538	Αμαριου	αμαριου	αμαριου	Ἀμαρίας	Amariou	amariou	amariou	A)mari/aj	A)mari/aj				*AMARIOU	*AMARIAS
1	1	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	1	N1T	GSM	9538	Εζεκιου	εζεκιου	εζεκιου	Ἐζεκίας	Ezekiou	ezekiou	ezekiou	E)zeki/aj	E)zeki/aj				*EZEKIOU	*EZEKIAS
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
