1	1	N3M	NPN	18050	Ῥήματα	ῥηματα	ρηματα	ῥῆμα	R(h/mata	r(hmata	rhmata	r(h~ma	r(h=ma				R(H/MATA	R(H=MA
1	1	N1M	GSM	9538	Ἐκκλησιαστοῦ	ἐκκλησιαστου	εκκλησιαστου	Ἐκκλησιαστής	E)kklhsiastou~	e)kklhsiastou	ekklhsiastou	E)kklhsiasth/j	E)kklhsiasth/j				*E)KKLHSIASTOU=	*E)KKLHSIASTH/S
1	1	N2	GSM	9538	υἱοῦ	υἱου	υιου	υἱός	ui(ou~	ui(ou	uiou	ui(o/j	ui(o/j				UI(OU=	UI(O/S
1	1	N	GSM	9538	Δαυιδ	δαυιδ	δαυιδ	Δαβίδ	Dauid	dauid	dauid	Dabi/d	Dabi/d				*DAUID	*DAUI/D
1	1	N3V	GSM	9538	βασιλέως	βασιλεως	βασιλεως	βασιλεύς	basile/wj	basilewj	basilewj	basileu/j	basileu/j				BASILE/WS	BASILEU/S
1	1	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	Israhl	israhl	israhl	I)srah/l	I)srah/l				*ISRAHL	*I)SRAH/L
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	1	N	DSF	13698	Ιερουσαλημ	ιερουσαλημ	ιερουσαλημ	Ἱερουσαλήμ	Ierousalhm	ierousalhm	ierousalhm	I(erousalh/m	I(erousalh/m			.	*IEROUSALHM	*I)EROUSALH/M
1	2	N3T	NSF	13442	Ματαιότης	ματαιοτης	ματαιοτης	ματαιότης	Mataio/thj	mataiothj	mataiothj	mataio/thj	mataio/thj				MATAIO/THS	MATAIO/THS
1	2	N3T	GPF	14146	ματαιοτήτων	ματαιοτητων	ματαιοτητων	ματαιότης	mataioth/twn	mataiothtwn	mataiothtwn	mataio/thj	mataio/thj			,	MATAIOTH/TWN	MATAIO/THS
1	2	VBI	AAI3S	633473	εἶπεν	εἰπεν	ειπεν	ἔπω	ei~)pen	ei)pen	eipen	e/)pw	e)/pw				EI)=PEN	EI)=PON
