1	1	C-	--------	4	Ἐπειδήπερ	ἐπειδηπερ	επειδηπερ	ἐπειδήπερ	E)peidh/per	e)peidhper	epeidhper	e)peidh/per			
1	1	A-	----NPM-	9859	πολλοὶ	πολλοι	πολλοι	πολύς	polloi\	polloi	polloi	polu/j			
1	1	V-	3AAI-P--	895617	ἐπεχείρησαν	ἐπεχειρησαν	επεχειρησαν	ἐπιχειρέω	e)pexei/rhsan	e)pexeirhsan	epexeirhsan	e)pixeire/w			
1	1	V-	-AMN----	310145	ἀνατάξασθαι	ἀναταξασθαι	αναταξασθαι	ἀνατάσσομαι	a)nata/casqai	a)natacasqai	anatacasqai	a)nata/ssomai			
1	1	N-	----ASF-	13570	διήγησιν	διηγησιν	διηγησιν	διήγησις	dih/ghsin	dihghsin	dihghsin	dih/ghsij			
1	1	P-	--------	7	περὶ	περι	περι	περί	peri\	peri	peri	peri/			
1	1	RA	----GPN-	10	τῶν	των	των	ὁ	tw~n	twn	twn	o(			
1	1	V-	-XPPGPN-	9358785	πεπληροφορημένων	πεπληροφορημενων	πεπληροφορημενων	πληροφορέω	peplhroforhme/nwn	peplhroforhmenwn	peplhroforhmenwn	plhrofore/w			
1	1	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
1	1	RP	----DP--	13	ἡμῖν	ἡμιν	ημιν	ἐγώ	h(mi~n	h(min	hmin	e)gw/			
1	1	N-	----GPN-	18242	πραγμάτων	πραγματων	πραγματων	πρᾶγμα	pragma/twn	pragmatwn	pragmatwn	pra~gma			,
1	2	C-	--------	4	καθὼς	καθως	καθως	καθώς	kaqw\j	kaqwj	kaqwj	kaqw/j			
1	2	V-	3AAI-P--	895617	παρέδοσαν	παρεδοσαν	παρεδοσαν	παραδίδωμι	pare/dosan	paredosan	paredosan	paradi/dwmi			
1	2	RP	----DP--	13	ἡμῖν	ἡμιν	ημιν	ἐγώ	h(mi~n	h(min	hmin	e)gw/			
1	2	RA	----NPM-	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(			
1	2	P-	--------	7	ἀπ	ἀπ	απ	ἀπό	a)p	a)p	ap	a)po/			
1	2	N-	----GSF-	13634	ἀρχῆς	ἀρχης	αρχης	ἀρχή	a)rxh~j	a)rxhj	arxhj	a)rxh/			
1	2	N-	----NPM-	9858	αὐτόπται	αὐτοπται	αυτοπται	αὐτόπτης	au)to/ptai	au)toptai	autoptai	au)to/pthj			
1	2	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	2	N-	----NPM-	9858	ὑπηρέται	ὑπηρεται	υπηρεται	ὑπηρέτης	u(phre/tai	u(phretai	uphretai	u(phre/thj			
1	2	V-	-AMPNPM-	834497	γενόμενοι	γενομενοι	γενομενοι	γίνομαι	geno/menoi	genomenoi	genomenoi	gi/nomai			
1	2	RA	----GSM-	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(			
1	2	N-	----GSM-	9538	λόγου	λογου	λογου	λόγος	lo/gou	logou	logou	lo/goj			,
1	3	V-	3AAI-S--	633473	ἔδοξε	ἐδοξε	εδοξε	δοκέω	e/)doce	e)doce	edoce	doke/w			
1	3	RP	----DS--	13	κἀμοὶ	κἀμοι	καμοι	κἀγώ	ka)moi\	ka)moi	kamoi	ka)gw/			
1	3	V-	-XAPDSM-	568769	παρηκολουθηκότι	παρηκολουθηκοτι	παρηκολουθηκοτι	παρακολουθέω	parhkolouqhko/ti	parhkolouqhkoti	parhkolouqhkoti	parakolouqe/w			
1	3	D-	--------	8	ἄνωθεν	ἀνωθεν	ανωθεν	ἄνωθεν	a/)nwqen	a)nwqen	anwqen	a/)nwqen			
1	3	A-	----DPN-	18307	πᾶσιν	πασιν	πασιν	πᾶς	pa~sin	pasin	pasin	pa~j			
1	3	D-	--------	8	ἀκριβῶς	ἀκριβως	ακριβως	ἀκριβῶς	a)kribw~j	a)kribwj	akribwj	a)kribw~j			
1	3	D-	--------	8	καθεξῆς	καθεξης	καθεξης	καθεξῆς	kaqech~j	kaqechj	kaqechj	kaqech~j			
1	3	RP	----DS--	13	σοι	σοι	σοι	σύ	soi	soi	soi	su/			
1	3	V-	-AAN----	306049	γράψαι	γραψαι	γραψαι	γράφω	gra/yai	grayai	grayai	gra/fw			,
1	3	A-	----VSMS	74947	κράτιστε	κρατιστε	κρατιστε	κράτιστος	kra/tiste	kratiste	kratiste	kra/tistoj			
1	3	N-	----VSM-	9410	Θεόφιλε	θεοφιλε	θεοφιλε	Θεόφιλος	Qeo/file	qeofile	qeofile	Qeo/filoj			,
1	4	C-	--------	4	ἵνα	ἱνα	ινα	ἵνα	i/(na	i(na	ina	i/(na			
1	4	V-	2AAS-S--	633601	ἐπιγνῷς	ἐπιγνως	επιγνως	ἐπιγινώσκω	e)pignw~|j	e)pignwj	epignwj	e)piginw/skw			
1	4	P-	--------	7	περὶ	περι	περι	περί	peri\	peri	peri	peri/			
1	4	RR	----GPM-	14	ὧν	ὡν	ων	ὅς	w~(n	w(n	wn	o/(j			
1	4	V-	2API-S--	2673281	κατηχήθης	κατηχηθης	κατηχηθης	κατηχέω	kathxh/qhj	kathxhqhj	kathxhqhj	kathxe/w			
1	4	N-	----GPM-	10050	λόγων	λογων	λογων	λόγος	lo/gwn	logwn	logwn	lo/goj			
1	4	RA	----ASF-	10	τὴν	την	την	ὁ	th\n	thn	thn	o(			
1	4	N-	----ASF-	13570	ἀσφάλειαν	ἀσφαλειαν	ασφαλειαν	ἀσφάλεια	a)sfa/leian	a)sfaleian	asfaleian	a)sfa/leia			.
1	5	V-	3AMI-S--	637569	Ἐγένετο	ἐγενετο	εγενετο	γίνομαι	E)ge/neto	e)geneto	egeneto	gi/nomai			
