1	1	N-	----NSM-	9346	Ἰάκωβος	ἰακωβος	ιακωβος	Ἰάκωβος	I)a/kwboj	i)akwboj	iakwboj	I)a/kwboj			
1	1	N-	----GSM-	9538	θεοῦ	θεου	θεου	θεός	qeou~	qeou	qeou	qeo/j			
1	1	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	1	N-	----GSM-	9538	κυρίου	κυριου	κυριου	κύριος	kuri/ou	kuriou	kuriou	ku/rioj			
1	1	N-	----GSM-	9538	Ἰησοῦ	ἰησου	ιησου	Ἰησοῦς	I)hsou~	i)hsou	ihsou	I)hsou~j			
1	1	N-	----GSM-	9538	Χριστοῦ	χριστου	χριστου	Χριστός	Xristou~	xristou	xristou	Xristo/j			
1	1	N-	----NSM-	9346	δοῦλος	δουλος	δουλος	δοῦλος	dou~loj	douloj	douloj	dou~loj			
1	1	RA	----DPF-	10	ταῖς	ταις	ταις	ὁ	tai~j	taij	taij	o(			
1	1	A-	----DPF-	14211	δώδεκα	δωδεκα	δωδεκα	δώδεκα	dw/deka	dwdeka	dwdeka	dw/deka			
1	1	N-	----DPF-	14210	φυλαῖς	φυλαις	φυλαις	φυλή	fulai~j	fulaij	fulaij	fulh/			
1	1	RA	----DPF-	10	ταῖς	ταις	ταις	ὁ	tai~j	taij	taij	o(			
1	1	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
1	1	RA	----DSF-	10	τῇ	τη	τη	ὁ	th~|	th	th	o(			
1	1	N-	----DSF-	13698	διασπορᾷ	διασπορα	διασπορα	διασπορά	diaspora~|	diaspora	diaspora	diaspora/			
1	1	V-	-PAN----	304513	χαίρειν	χαιρειν	χαιρειν	χαίρω	xai/rein	xairein	xairein	xai/rw			.
1	2	A-	----ASF-	13571	Πᾶσαν	πασαν	πασαν	πᾶς	Pa~san	pasan	pasan	pa~j			
1	2	N-	----ASF-	13570	χαρὰν	χαραν	χαραν	χαρά	xara\n	xaran	xaran	xara/			
1	2	V-	2AMD-P--	899777	ἡγήσασθε	ἡγησασθε	ηγησασθε	ἡγέομαι	h(gh/sasqe	h(ghsasqe	hghsasqe	h(ge/omai			,
1	2	N-	----VPM-	9922	ἀδελφοί	ἀδελφοι	αδελφοι	ἀδελφός	a)delfoi/	a)delfoi	adelfoi	a)delfo/j			
1	2	RP	----GS--	13	μου	μου	μου	ἐγώ	mou	mou	mou	e)gw/			,
1	2	C-	--------	4	ὅταν	ὁταν	οταν	ὅταν	o/(tan	o(tan	otan	o/(tan			
1	2	N-	----DPM-	10114	πειρασμοῖς	πειρασμοις	πειρασμοις	πειρασμός	peirasmoi~j	peirasmoij	peirasmoij	peirasmo/j			
1	2	V-	2AAS-P--	895745	περιπέσητε	περιπεσητε	περιπεσητε	περιπίπτω	peripe/shte	peripeshte	peripeshte	peripi/ptw			
1	2	A-	----DPM-	10115	ποικίλοις	ποικιλοις	ποικιλοις	ποικίλος	poiki/loij	poikiloij	poikiloij	poiki/loj			,
1	3	V-	-PAPNPM-	828865	γινώσκοντες	γινωσκοντες	γινωσκοντες	γινώσκω	ginw/skontej	ginwskontej	ginwskontej	ginw/skw			
1	3	C-	--------	4	ὅτι	ὁτι	οτι	ὅτι	o/(ti	o(ti	oti	o/(ti			
1	3	RA	----NSN-	10	τὸ	το	το	ὁ	to\	to	to	o(			
1	3	N-	----NSN-	17538	δοκίμιον	δοκιμιον	δοκιμιον	δοκίμιον	doki/mion	dokimion	dokimion	doki/mion			
1	3	RP	----GP--	13	ὑμῶν	ὑμων	υμων	σύ	u(mw~n	u(mwn	umwn	su/			
1	3	RA	----GSF-	10	τῆς	της	της	ὁ	th~j	thj	thj	o(			
1	3	N-	----GSF-	13634	πίστεως	πιστεως	πιστεως	πίστις	pi/stewj	pistewj	pistewj	pi/stij			
1	3	V-	3PMI-S--	636033	κατεργάζεται	κατεργαζεται	κατεργαζεται	κατεργάζομαι	katerga/zetai	katergazetai	katergazetai	katerga/zomai			
1	3	N-	----ASF-	13570	ὑπομονήν	ὑπομονην	υπομονην	ὑπομονή	u(pomonh/n	u(pomonhn	upomonhn	u(pomonh/			·
1	4	RA	----NSF-	10	ἡ	ἡ	η	ὁ	h(	h(	h	o(			
1	4	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	4	N-	----NSF-	13442	ὑπομονὴ	ὑπομονη	υπομονη	ὑπομονή	u(pomonh\	u(pomonh	upomonh	u(pomonh/			
1	4	N-	----ASN-	17666	ἔργον	ἐργον	εργον	ἔργον	e/)rgon	e)rgon	ergon	e/)rgon			
1	4	A-	----ASN-	17667	τέλειον	τελειον	τελειον	τέλειος	te/leion	teleion	teleion	te/leioj			
1	4	V-	3PAD-S--	632001	ἐχέτω	ἐχετω	εχετω	ἔχω	e)xe/tw	e)xetw	exetw	e/)xw			,
1	4	C-	--------	4	ἵνα	ἱνα	ινα	ἵνα	i/(na	i(na	ina	i/(na			
1	4	V-	2PAS-P--	894209	ἦτε	ἠτε	ητε	εἰμί	h~)te	h)te	hte	ei)mi/			
1	4	A-	----NPM-	9859	τέλειοι	τελειοι	τελειοι	τέλειος	te/leioi	teleioi	teleioi	te/leioj			
1	4	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	4	A-	----NPM-	9859	ὁλόκληροι	ὁλοκληροι	ολοκληροι	ὁλόκληρος	o(lo/klhroi	o(loklhroi	oloklhroi	o(lo/klhroj			,
1	4	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
