1	1	N-	----NSF-	13442	Ἀποκάλυψις	ἀποκαλυψις	αποκαλυψις	ἀποκάλυψις	A)poka/luyij	a)pokaluyij	apokaluyij	a)poka/luyij			
1	1	N-	----GSM-	9538	Ἰησοῦ	ἰησου	ιησου	Ἰησοῦς	I)hsou~	i)hsou	ihsou	I)hsou~j			
1	1	N-	----GSM-	9538	Χριστοῦ	χριστου	χριστου	Χριστός	Xristou~	xristou	xristou	Xristo/j			,
1	1	RR	----ASF-	14	ἣν	ἡν	ην	ὅς	h\(n	h(n	hn	o/(j			
1	1	V-	3AAI-S--	633473	ἔδωκεν	ἐδωκεν	εδωκεν	δίδωμι	e/)dwken	e)dwken	edwken	di/dwmi			
1	1	RP	----DSM-	13	αὐτῷ	αὐτω	αυτω	αὐτός	au)tw~|	au)tw	autw	au)to/j			
1	1	RA	----NSM-	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(			
1	1	N-	----NSM-	9346	θεὸς	θεος	θεος	θεός	qeo\j	qeoj	qeoj	qeo/j			
1	1	V-	-AAN----	306049	δεῖξαι	δειξαι	δειξαι	δείκνυμι	dei~cai	deicai	deicai	dei/knumi			
1	1	RA	----DPM-	10	τοῖς	τοις	τοις	ὁ	toi~j	toij	toij	o(			
1	1	N-	----DPM-	10114	δούλοις	δουλοις	δουλοις	δοῦλος	dou/loij	douloij	douloij	dou~loj			
1	1	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός	au)tou~	au)tou	autou	au)to/j			,
1	1	RR	----APN-	14	ἃ	ἁ	α	ὅς	a\(	a(	a	o/(j			
1	1	V-	3PAI-S--	631937	δεῖ	δει	δει	δέω	dei~	dei	dei	de/w			
1	1	V-	-AMN----	310145	γενέσθαι	γενεσθαι	γενεσθαι	γίνομαι	gene/sqai	genesqai	genesqai	gi/nomai			
1	1	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
1	1	N-	----DSN-	17794	τάχει	ταχει	ταχει	τάχος	ta/xei	taxei	taxei	ta/xoj			,
1	1	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	1	V-	3AAI-S--	633473	ἐσήμανεν	ἐσημανεν	εσημανεν	σημαίνω	e)sh/manen	e)shmanen	eshmanen	shmai/nw			
1	1	V-	-AAPNSM-	568257	ἀποστείλας	ἀποστειλας	αποστειλας	ἀποστέλλω	a)postei/laj	a)posteilaj	aposteilaj	a)poste/llw			
1	1	P-	--------	7	διὰ	δια	δια	διά	dia\	dia	dia	dia/			
1	1	RA	----GSM-	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(			
